-,-,-
--start---
41, 246, 1008
33, 212, 995
66, 140, 1003
63, 49, 1002
63, 49, 1002
52, -17, 1000
86, -213, 995
87, -288, 988
96, -323, 943
96, -323, 943
56, -290, 1047
61, -244, 986
59, -281, 974
53, -293, 1020
72, -291, 961
42, -317, 1000
70, -343, 989
70, -343, 989
75, -329, 1012
101, -195, 991
-,-,-
-17, 250, 1001
-50, 249, 989
0, 279, 1009
-33, 245, 991
-28, 262, 1006
1, 287, 1003
1, 287, 1003
15, 284, 986
55, 111, 1017
106, -8, 969
46, -10, 1000
36, -38, 1011
36, -38, 1011
36, -102, 997
3, -21, 978
34, -105, 1029
44, -80, 976
44, -80, 976
59, -11, 1003
62, -127, 1003
92, -167, 999
74, -206, 1014
47, -157, 978
60, -123, 991
60, -123, 991
68, -132, 1028
70, -188, 975
72, -342, 1029
98, -434, 985
119, -488, 982
-,-,-
6, 135, 1021
-26, 175, 1013
-40, 191, 983
-36, 179, 987
-90, 247, 999
-90, 247, 999
-44, 239, 1011
43, 192, 1006
-7, 437, 976
30, 469, 1000
97, 310, 1007
99, 240, 1025
99, 240, 1025
104, 207, 994
114, -12, 975
123, -150, 984
125, -328, 1021
132, -391, 992
81, -373, 1008
39, -299, 979
39, -299, 979
31, -246, 1010
55, -277, 991
79, -300, 1015
45, -315, 976
70, -297, 997
71, -282, 1007
71, -282, 1007
72, -266, 992
99, -205, 986
-,-,-
2, 209, 993
2, 209, 993
-5, 194, 1017
16, 242, 1002
17, 307, 1002
15, 365, 992
15, 365, 992
77, 189, 991
83, 69, 1009
72, 50, 974
72, 50, 974
68, -16, 1018
48, 24, 984
52, 2, 1033
52, 2, 1033
73, -109, 994
59, -187, 988
85, -318, 981
70, -384, 991
46, -241, 1019
46, -241, 1019
50, -167, 985
41, -99, 1001
33, -106, 1003
65, -189, 993
52, -253, 992
77, -359, 987
77, -359, 987
52, -427, 1011
-,-,-
35, 169, 1007
67, 210, 981
4, 273, 1006
4, 273, 1006
36, 266, 1019
51, 174, 977
83, 36, 991
83, 36, 991
69, -14, 1007
60, 0, 988
64, -49, 990
64, -49, 988
1, -54, 988
35, -149, 1028
12, -141, 1012
31, -124, 969
30, -146, 1011
40, -161, 1003
40, -161, 1003
39, -126, 996
41, -94, 990
18, -60, 1020
24, -41, 998
60, -25, 991
60, -25, 991
67, -27, 1001
65, -203, 1004
-,-,-
76, 144, 990
76, 144, 990
31, 151, 1018
11, 227, 1008
26, 272, 993
21, 295, 988
21, 295, 988
24, 302, 1001
41, 255, 1013
27, 260, 997
56, 248, 1006
56, 248, 1006
57, 84, 1009
36, 25, 1005
35, -49, 981
18, -67, 985
18, -67, 985
19, -48, 988
30, -154, 1021
42, -84, 970
33, -114, 1003
38, -121, 1004
38, -121, 1004
42, -128, 998
61, -193, 996
57, -267, 1015
84, -405, 996
97, -458, 990
110, -541, 989
110, -541, 989
-,-,-
-83, 380, 993
52, 524, 774
81, 446, 997
52, 297, 978
52, 297, 978
70, 144, 1002
88, 0, 974
82, -46, 1009
89, -111, 973
89, -111, 973
55, -221, 961
36, -205, 1032
53, -216, 983
11, -79, 996
35, -150, 996
35, -150, 996
