-,-,-
--start---
29, -21, 1016
19, -93, 996
27, -22, 1019
50, -57, 1000
50, -57, 1000
32, -54, 967
50, -124, 999
50, -204, 1018
49, -251, 974
52, -410, 1024
80, -598, 985
80, -598, 985
115, -555, 983
-,-,-
114, 421, 971
114, 421, 971
34, 173, 1010
26, 312, 1006
-15, 313, 1007
24, 315, 987
28, 310, 1001
30, 249, 1010
30, 249, 1010
60, 167, 1001
55, 150, 996
53, 185, 990
69, 71, 1031
69, 71, 1031
69, 10, 971
74, -73, 1014
81, -246, 1003
49, -209, 997
29, -187, 974
29, -187, 974
38, -173, 991
45, -197, 1008
53, -196, 996
71, -208, 1002
47, -316, 1011
55, -473, 1003
55, -473, 1003
80, -557, 986
33, -196, 992
-,-,-
13, 208, 1004
14, 101, 1001
6, 133, 985
-15, 143, 1006
-14, 148, 1013
-14, 148, 1013
-14, 176, 991
45, 128, 1016
62, 34, 979
62, 33, 1008
52, 166, 987
52, 166, 987
58, 147, 1028
55, 91, 1014
73, -34, 977
93, -107, 992
93, -107, 992
94, -163, 1005
64, -125, 994
8, -107, 997
21, -226, 996
40, -373, 992
40, -373, 992
59, -539, 1012
46, -429, 1008
109, -366, 971
64, -170, 1000
-,-,-
36, 133, 994
24, 111, 1010
24, 111, 1010
28, 136, 982
37, 127, 994
39, 162, 1031
25, 200, 1010
44, 174, 1001
44, 174, 1001
61, 172, 979
60, 108, 1012
62, 62, 1003
68, 18, 993
68, 18, 993
63, -118, 1009
41, -101, 990
40, -150, 1009
66, -181, 980
25, -240, 1005
56, -304, 995
56, -304, 995
57, -437, 976
-,-,-
72, 301, 993
61, 193, 972
61, 193, 972
35, 138, 977
58, 152, 980
38, 166, 1035
70, 265, 981
70, 265, 981
52, 219, 1007
45, 251, 991
37, 246, 1013
56, 209, 1014
85, 57, 957
85, 57, 957
74, 51, 1022
79, -112, 1014
78, -221, 977
55, -306, 970
55, -306, 970
39, -390, 1039
54, -359, 986
55, -481, 988
38, -512, 987
-,-,-
35, 209, 990
1, 231, 998
12, 186, 985
12, 186, 985
32, 186, 1002
37, 159, 1009
42, 91, 1009
63, 84, 1010
63, 84, 1010
45, 69, 992
49, 97, 1001
59, 95, 990
59, 95, 990
36, 15, 1007
57, -101, 1008
50, -81, 984
53, -56, 1015
53, -56, 1015
60, -37, 979
51, -81, 1022
57, -169, 1003
60, -191, 990
37, -334, 986
-,-,-
-10, 293, 973
-10, 293, 973
20, 378, 989
19, 318, 1021
23, 260, 992
60, 209, 1003
60, 209, 1003
104, 107, 994
87, 60, 1006
108, 37, 990
106, -41, 1023
76, -49, 991
76, -49, 991
77, -109, 988
46, -200, 1029
63, -232, 970
28, -196, 1002
34, -251, 1012
34, -251, 1012
47, -251, 962
58, -304, 1021
42, -362, 994
25, -355, 999
80, -375, 993
-,-,-
13, 225, 977
13, 225, 977
0, 141, 994
30, 147, 1018
25, 181, 1014
25, 181, 1014
38, 220, 983
17, 278, 1004
27, 305, 996
56, 266, 996
82, 119, 1009
82, 119, 1009
55, 57, 1018
21, 133, 976
53, 71, 1006
48, -28, 1007
48, -28, 1007
104, -79, 995
90, -209, 932
85, -290, 1013
76, -467, 996
38, -620, 979
37, -648, 1011
37, -648, 1011
82, -531, 1002
35, -209, 988
-,-,-
22, 344, 957
22, 344, 957
55, 191, 1027
54, 160, 1001
50, 213, 995
33, 171, 1006
33, 171, 1006
32, 182, 994
34, 161, 1002
45, 93, 1018
63, 42, 990
63, 42, 990
35, 19, 1013
44, -5, 980
38, -73, 1017
38, -73, 1017
73, -160, 1030
79, -208, 993
70, -141, 961
57, -122, 1001
35, -207, 1007
56, -290, 1015
58, -378, 1016
47, -501, 972
47, -501, 972
-,-,-
26, 230, 1001
19, 288, 989
25, 185, 988
13, 234, 1001
4, 275, 1021
4, 275, 1021
27, 221, 1002
27, 153, 971
58, 129, 1011
50, 76, 997
50, 76, 997
44, 76, 1002
52, 61, 1013
42, 23, 985
42, 23, 985
62, -9, 1005
46, -102, 1026
74, -170, 997
68, -177, 957
68, -177, 957
63, -213, 1018
75, -260, 1013
43, -338, 996
82, -507, 989
77, -626, 1004
71, -353, 991
-,-,-
29, 219, 993
7, 150, 988
19, 174, 1012
33, 163, 1011
29, 137, 984
29, 137, 984
52, 114, 1007
55, 100, 999
39, 59, 987
48, 71, 993
48, 71, 993
30, 49, 1010
19, 73, 996
51, -73, 999
51, -73, 999
45, -104, 1023
52, -191, 959
49, -217, 1020
49, -245, 968
59, -258, 1025
59, -258, 1025
41, -260, 1006
43, -279, 1007
49, -309, 986
81, -474, 995
69, -279, 995
147, -556, 1026
-,-,-
8, 343, 989
30, 285, 968
23, 310, 1017
60, 278, 996
60, 278, 996
77, 194, 1022
58, 134, 969
69, 120, 991
57, 140, 983
57, 140, 983
48, 68, 1008
67, 78, 1026
76, -82, 983
80, -147, 990
80, -147, 990
55, -177, 981
36, -208, 988
41, -200, 992
29, -258, 986
38, -346, 1027
38, -346, 1027
43, -471, 999
66, -538, 966
89, -527, 1000
48, -235, 1003
153, -396, 1005
-,-,-
19, 133, 986
19, 133, 986
-17, 278, 992
4, 251, 1038
26, 294, 965
18, 298, 1020
18, 298, 1020
34, 267, 996
45, 244, 1006
35, 282, 1011
61, 224, 985
61, 224, 985
83, 27, 1001
49, -20, 1019
42, -133, 953
51, -195, 1003
39, -215, 996
39, -215, 996
64, -260, 968
50, -264, 998
62, -244, 1018
85, -307, 976
97, -429, 1009
73, -460, 1004
87, -453, 972
-,-,-
52, 362, 972
26, 383, 975
32, 291, 1048
49, 216, 993
47, 136, 1021
47, 105, 990
47, 105, 990
28, -8, 966
-1, -69, 1008
11, -102, 1006
23, -134, 967
23, -134, 967
34, -276, 1029
97, -247, 990
30, -276, 979
35, -392, 996
48, -474, 1003
84, -551, 994
84, -551, 994
83, -346, 995
57, -164, 1006
-,-,-
29, 88, 986
9, 96, 984
-16, 191, 995
5, 251, 1014
5, 251, 1014
-9, 236, 979
-2, 165, 1017
38, 80, 982
38, 80, 982
47, 23, 1027
2, 62, 1010
25, 126, 996
25, 126, 996
21, 70, 1007
41, 28, 988
43, -21, 1011
58, -75, 1009
58, -75, 1009
48, -127, 1013
48, -54, 989
67, -91, 985
82, -257, 1004
54, -280, 995
71, -401, 1007
71, -401, 1007
-,-,-
18, 49, 991
18, 49, 991
4, 121, 994
-7, 184, 1015
11, 210, 989
11, 210, 989
30, 190, 1011
40, 213, 999
4, 188, 1005
33, 160, 1020
34, 56, 975
34, 56, 975
37, 8, 1025
27, -33, 993
27, -33, 993
-5, 1, 998
4, -17, 1012
32, -84, 996
21, -116, 1024
21, -116, 1024
87, -174, 990
67, -281, 972
80, -275, 1008
62, -397, 987
53, -433, 997
106, -322, 995
106, -322, 995
-,-,-
-8, 301, 983
34, 179, 995
33, 174, 1010
33, 174, 1010
-17, 208, 997
-4, 235, 1024
2, 224, 984
16, 126, 1004
48, -73, 1020
48, -73, 1020
30, -124, 966
16, -73, 996
25, -90, 1000
32, -77, 1006
32, -101, 1025
32, -101, 1025
39, -165, 995
52, -193, 983
43, -242, 1016
43, -287, 1004
81, -313, 990
115, -405, 981
75, -289, 1002
-,-,-
25, 109, 1002
16, 188, 987
-3, 260, 1010
-3, 260, 1010
-19, 315, 991
25, 309, 1036
20, 247, 970
61, 128, 976
61, 128, 976
58, 94, 1034
52, 48, 981
73, 0, 1003
73, 0, 1003
57, -100, 985
64, -129, 1019
73, -202, 968
64, -238, 1001
51, -210, 993
50, -226, 1012
50, -226, 1012
21, -222, 1008
34, -190, 988
26, -177, 1019
0, -114, 1001
-6, -123, 993
15, -217, 1003
76, -323, 989
76, -323, 989
-,-,-
20, 200, 988
-8, 180, 996
35, 109, 1009
45, 112, 984
29, 110, 1009
29, 110, 1009
62, 91, 1012
20, 127, 998
9, 157, 995
37, 108, 1011
37, 108, 1011
67, 34, 1002
52, -51, 1000
48, -38, 996
18, -32, 1004
20, -95, 1006
20, -95, 1006
8, -92, 992
14, -119, 1014
-25, -51, 1012
-22, -33, 991
9, -148, 1004
9, -148, 1004
35, -210, 995
35, -265, 1013
58, -262, 989
68, -336, 993
-,-,-
50, 38, 1005
44, 96, 987
44, 96, 987
25, 108, 995
17, 106, 1019
48, 201, 981
48, 201, 1021
44, 214, 1021
41, 195, 986
27, 224, 991
29, 189, 1016
22, 99, 988
22, 99, 988
34, 2, 1005
25, -89, 988
17, -191, 1012
17, -191, 1012
9, -154, 991
8, -157, 994
6, -115, 1015
12, -119, 1001
7, -107, 998
7, -107, 998
35, -134, 1000
37, -176, 1010
66, -279, 982
76, -394, 1010
101, -298, 988
-,-,-
-5, 103, 989
-5, 103, 989
48, 138, 992
36, 193, 1012
16, 243, 1014
22, 271, 1003
16, 296, 983
16, 296, 983
14, 230, 1013
53, 46, 988
29, -96, 1016
26, -141, 1003
26, -141, 1003
24, -160, 1005
14, -136, 993
21, -179, 1000
53, -243, 992
36, -272, 1028
52, -249, 971
59, -280, 1002
59, -280, 1002
74, -337, 1000
96, -324, 991
37, -92, 1003
57, -151, 1002
93, -220, 1005
-,-,-
43, 117, 984
10, 94, 983
35, 83, 1001
3, 173, 994
3, 173, 994
19, 170, 1022
27, 171, 1000
21, 169, 996
34, 143, 996
34, 143, 996
48, 104, 1016
44, 5, 987
40, -37, 1017
26, -76, 1005
26, -76, 1005
5, -24, 993
2, -52, 981
2, -77, 1014
2, -77, 1014
13, -86, 992
11, -82, 1007
18, -52, 998
28, -100, 1026
74, -127, 978
74, -127, 978
44, -242, 998
70, -318, 1029
99, -440, 979
80, -331, 981
-,-,-
31, 152, 993
31, 152, 993
17, 150, 998
43, 132, 1015
10, 126, 999
10, 126, 999
9, 94, 1018
19, 67, 992
21, 28, 988
21, 28, 988
36, -5, 1000
23, -15, 1031
26, -5, 982
34, 16, 999
34, 16, 999
6, 44, 979
20, 18, 1028
20, 18, 1028
27, 10, 985
35, 20, 1007
35, -48, 1056
59, -43, 958
59, -43, 958
44, -116, 987
27, -161, 1020
92, -266, 998
93, -453, 984
69, -540, 1015
-,-,-
58, 237, 999
23, 220, 996
30, 186, 994
30, 186, 994
30, 238, 998
7, 221, 1007
40, 132, 1007
40, 132, 1007
44, -9, 996
53, -17, 1000
46, 76, 989
22, 50, 1023
22, 50, 1023
40, 19, 1020
14, -36, 997
-12, -16, 976
20, 27, 1019
20, 27, 1019
10, 18, 977
20, -74, 1020
23, -108, 999
35, -180, 1023
35, -180, 1023
56, -157, 995
73, -148, 977
66, -212, 1022
110, -317, 977
-,-,-
86, 322, 994
86, 322, 994
16, 235, 993
2, 303, 1007
0, 250, 993
0, 250, 993
21, 226, 1018
3, 203, 1011
22, 167, 979
31, 129, 1020
31, 129, 1020
30, 131, 980
23, 127, 1008
38, 44, 1039
40, -22, 991
40, -22, 991
49, -21, 982
49, -65, 993
61, -77, 1028
47, -135, 984
35, -224, 1029
35, -224, 1029
56, -199, 974
69, -171, 981
28, -246, 1017
78, -258, 1002
74, -294, 1016
78, -327, 984
-,-,-
13, 432, 991
65, 476, 1015
65, 476, 1015
17, 180, 1005
-35, 399, 1003
-22, 351, 988
-10, 362, 1015
29, 331, 1006
27, 240, 1007
27, 240, 1007
55, 156, 993
50, 138, 979
60, 93, 1005
71, 12, 1014
71, 12, 1014
61, -10, 990
82, -93, 1009
61, -120, 1004
40, -142, 987
62, -177, 996
62, -177, 996
34, -239, 1036
48, -238, 948
82, -394, 1033
45, -485, 991
71, -527, 976
104, -459, 1008
-,-,-
7, 327, 996
7, 327, 996
6, 402, 1008
63, 292, 1034
-6, 267, 1000
-16, 320, 993
15, 209, 1011
15, 209, 1011
50, 227, 981
10, 202, 1013
11, 201, 1021
37, 210, 988
37, 210, 988
22, 220, 1002
31, 159, 988
50, 75, 1037
84, -83, 963
84, -83, 963
37, -73, 1023
25, -54, 997
13, -72, 980
26, -102, 987
26, -102, 987
20, -186, 1039
65, -170, 975
54, -158, 978
42, -173, 1029
67, -257, 998
90, -368, 1004
114, -535, 999
-,-,-
23, 297, 1027
32, 343, 966
41, 237, 997
52, 187, 1003
42, 222, 1017
42, 222, 1017
29, 219, 1009
42, 155, 982
29, 136, 1028
18, 128, 992
18, 128, 992
25, 64, 1002
13, 52, 983
8, -33, 990
23, -38, 1026
23, -38, 1026
27, -61, 996
30, -98, 981
40, -109, 1024
39, -130, 1015
69, -169, 1018
69, -169, 1018
80, -160, 968
82, -207, 995
97, -335, 1009
82, -449, 998
109, -561, 992
57, -328, 987
-,-,-
64, 196, 1012
-21, 361, 977
-7, 269, 1015
20, 229, 985
30, 229, 994
30, 211, 994
16, 145, 1016
26, 138, 982
22, 161, 1016
37, 121, 1020
37, 121, 1020
46, 70, 989
46, 34, 1012
48, 10, 989
48, 10, 989
21, 51, 996
53, 30, 993
38, -31, 1006
38, -31, 1006
34, -112, 1009
44, -171, 1000
48, -156, 970
46, -197, 1053
61, -253, 958
92, -454, 1014
90, -539, 990
90, -539, 990
130, -611, 993
-,-,-
-26, 338, 985
29, 311, 997
56, 202, 1001
56, 202, 1001
77, 116, 1012
68, 79, 1009
60, 119, 1003
81, 108, 977
81, 108, 977
49, 26, 1019
77, 9, 1005
44, -90, 999
35, -177, 991
35, -177, 991
26, -156, 1009
32, -153, 994
21, -232, 1018
40, -150, 966
34, -202, 1048
49, -317, 954
49, -317, 954
45, -358, 1007
65, -505, 997
-,-,-
1, 458, 1005
8, 151, 1002
-21, 279, 1003
21, 175, 991
40, 149, 1012
12, 161, 1006
12, 161, 1006
57, 115, 988
43, 119, 1005
47, 148, 994
44, 150, 1022
44, 150, 1022
31, 144, 987
32, 127, 1035
46, 47, 955
23, 30, 1015
23, 30, 1015
47, -27, 977
42, -51, 1017
49, -47, 980
41, -162, 1038
64, -181, 986
64, -181, 986
74, -207, 972
78, -363, 998
55, -305, 1022
74, -371, 1004
75, -401, 980
-,-,-
26, 362, 1012
80, 103, 992
78, 30, 997
46, 68, 989
46, 68, 989
18, 93, 989
-13, 121, 1020
-16, 189, 1009
0, 175, 1007
0, 175, 1007
-1, 161, 1004
30, 196, 989
35, 136, 979
48, 129, 1039
48, 129, 1039
71, 54, 965
57, -36, 1021
38, -87, 986
14, -106, 991
14, -106, 991
13, -119, 1019
-1, -82, 982
14, -71, 1008
31, -50, 982
44, -30, 1005
44, -30, 1005
76, -216, 1002
80, -237, 1025
49, -194, 979
36, -227, 1014
-,-,-
21, 10, 1017
-19, 65, 1004
-53, 219, 993
-6, 326, 1014
-6, 326, 1014
55, 154, 1013
-29, 368, 991
-15, 325, 1009
25, 222, 1001
47, 125, 1016
0, 131, 980
0, 131, 980
-6, 194, 1024
1, 254, 986
6, 146, 1019
6, 146, 1019
33, 62, 986
34, -77, 1013
67, -124, 1009
71, -123, 982
71, -123, 985
49, -102, 985
25, -173, 1003
55, -282, 1014
28, -291, 990
58, -271, 997
81, -297, 1007
73, -316, 980
73, -316, 980
117, -345, 1019
-,-,-
21, 64, 995
40, 132, 988
17, 101, 995
22, 173, 1009
22, 173, 1009
-14, 194, 993
1, 150, 1027
3, 190, 1005
3, 201, 993
3, 201, 993
1, 134, 1011
3, 61, 991
22, -24, 1007
22, -24, 1007
18, -25, 984
66, -30, 1018
45, -6, 992
66, -34, 1008
45, -52, 1015
45, -52, 1015
40, -76, 1003
27, -75, 990
55, -126, 1007
61, -275, 983
77, -337, 996
77, -337, 996
67, -332, 1002
56, -348, 1007
-,-,-
20, 207, 1009
54, 44, 1001
-10, 164, 991
11, 109, 988
-9, 138, 1019
-9, 138, 1019
11, 110, 997
-1, 108, 1004
-13, 137, 1009
3, 165, 1002
41, 101, 992
41, 101, 992
72, 37, 1014
59, -7, 971
67, -7, 1013
67, -7, 1013
30, -16, 1018
39, -42, 1011
30, -41, 983
-3, -18, 1018
17, 9, 998
17, 9, 998
5, 20, 978
-6, -38, 1023
-6, -38, 1023
33, -48, 967
37, -84, 1009
66, -216, 1021
50, -219, 989
69, -320, 1013
69, -320, 1013
68, -388, 1007
-,-,-
53, 383, 989
-3, 60, 1027
29, 177, 987
29, 177, 987
13, 113, 1007
13, 154, 1005
12, 162, 993
28, 165, 999
12, 218, 1028
12, 218, 1028
11, 221, 991
25, 177, 1003
32, 167, 1002
52, 90, 1008
52, 90, 1008
67, 12, 1007
40, 2, 989
43, -70, 1018
29, -87, 1002
29, -87, 1002
37, -131, 1004
23, -183, 1007
39, -208, 988
13, -159, 1005
25, -121, 995
73, -322, 1016
73, -322, 1016
73, -398, 978
-,-,-
53, 134, 1005
42, 63, 1001
42, 63, 1001
21, 131, 994
-9, 177, 1016
12, 153, 998
12, 153, 998
8, 205, 1004
14, 175, 999
-6, 169, 1003
30, 163, 1017
58, 158, 993
58, 158, 993
56, 94, 1008
67, 0, 984
51, -41, 994
51, -41, 994
31, 1, 1020
39, -39, 1015
43, -57, 986
43, -57, 986
16, -54, 1001
42, -101, 1026
34, -99, 977
27, -142, 999
36, -132, 1001
73, -224, 995
73, -224, 995
86, -257, 1013
52, -241, 996
-,-,-
55, 83, 999
25, -27, 1008
33, -8, 997
33, -8, 997
34, 23, 1002
18, 95, 999
8, 108, 1015
8, 108, 1015
-5, 122, 1004
45, 138, 997
25, 150, 999
17, 174, 995
17, 174, 995
23, 139, 1007
33, 101, 1005
53, 64, 1006
33, 44, 1000
33, 44, 1000
15, 34, 987
36, 19, 1004
25, 13, 1011
18, -27, 986
18, -27, 986
12, -3, 1010
23, -29, 1011
1, -39, 997
1, -39, 997
8, -109, 1003
-2, -105, 1004
13, -203, 993
58, -297, 988
71, -347, 1012
-,-,-
22, 90, 980
22, 90, 980
15, 176, 1018
37, 175, 998
50, 133, 1000
29, 78, 1000
29, 78, 1000
52, 44, 989
22, 42, 1009
43, 96, 1004
24, 137, 1001
24, 137, 1001
31, 55, 1012
8, -11, 999
14, -33, 1017
7, -69, 997
7, -69, 997
15, -29, 987
15, -21, 990
2, -74, 1018
2, -74, 1018
2, -129, 998
16, -127, 1003
40, -74, 980
47, -52, 1023
47, -52, 1023
34, -25, 994
49, -66, 1006
36, -105, 1015
36, -54, 983
23, -57, 992
23, -57, 992
-,-,-
27, 69, 1003
19, 180, 984
34, 110, 1012
6, 104, 991
6, 104, 991
8, 140, 1006
16, 171, 999
6, 139, 1016
6, 139, 1016
1, 164, 979
33, 146, 1035
42, 101, 985
40, 15, 1012
40, 15, 1012
32, 7, 996
53, -93, 1002
38, -50, 993
38, -50, 993
47, -66, 987
37, -97, 999
17, -71, 1029
22, -54, 989
22, -54, 989
18, -41, 1016
28, -13, 998
31, -27, 987
44, -38, 1017
44, -38, 1017
53, -219, 981
15, -249, 1023
-,-,-
36, 75, 985
36, 75, 985
-18, 82, 1008
44, 135, 1007
26, 232, 982
26, 232, 982
13, 213, 1008
-7, 137, 989
-15, 73, 1041
4, 81, 995
4, 81, 995
35, 151, 984
20, 183, 1007
0, 160, 1000
31, -58, 991
31, -58, 991
62, -83, 1012
55, -85, 995
60, -96, 1010
6, -10, 981
6, -10, 981
22, -75, 1009
9, -123, 998
34, -154, 1004
42, -189, 992
42, -189, 992
18, -103, 1007
67, -86, 985
42, -126, 1014
57, -145, 999
-,-,-
57, 188, 1014
29, 139, 976
6, 159, 1008
-8, 144, 1009
22, 122, 986
22, 122, 986
3, 91, 998
32, 69, 1019
13, 94, 1005
13, 94, 1005
20, 177, 979
8, 153, 988
26, 104, 1017
46, 2, 1020
46, 2, 1020
37, -30, 1000
-5, -17, 997
16, -56, 1007
16, -56, 1007
29, -6, 993
48, -100, 991
48, -156, 1001
32, -170, 1018
50, -114, 983
50, -114, 983
56, -89, 983
37, -72, 1040
38, -184, 981
20, -193, 1008
68, -246, 994
81, -341, 990
-,-,-
27, 160, 975
27, 160, 975
-42, 227, 1003
-7, 227, 995
15, 206, 1007
29, 147, 1004
29, 147, 1004
39, 157, 1015
1, 183, 999
49, 117, 989
35, 86, 1011
35, 86, 1011
47, 10, 996
25, 24, 987
44, -37, 1031
21, -31, 978
21, -31, 978
2, -32, 1003
12, -55, 1000
43, -110, 1030
40, -102, 955
74, -228, 1026
74, -228, 1026
45, -234, 984
54, -311, 1015
36, -338, 1011
71, -407, 986
-,-,-
24, 61, 979
36, 162, 1004
2, 256, 1017
2, 256, 1017
31, 281, 983
0, 244, 1011
35, 188, 991
35, 188, 991
42, 119, 1004
39, 140, 1004
47, 111, 1001
9, 62, 1010
44, 0, 999
44, 0, 999
18, -29, 1018
29, -76, 998
29, -76, 998
12, -39, 995
26, -111, 1006
0, -176, 991
25, -213, 996
35, -198, 1012
35, -198, 1012
65, -175, 991
70, -212, 983
-,-,-
7, 36, 988
7, 36, 988
-23, 85, 994
-26, 172, 996
-1, 167, 1015
22, 143, 1006
22, 143, 1006
25, 49, 986
50, -32, 1009
36, -31, 1009
38, 44, 1003
38, 44, 1003
11, 109, 992
15, 138, 998
9, 98, 1027
17, 93, 984
17, 93, 984
39, 89, 986
61, -6, 1012
33, -53, 1006
33, -53, 1006
33, -90, 1012
2, -122, 992
22, -112, 987
43, -124, 1016
46, -144, 981
46, -144, 981
64, -218, 1009
76, -284, 1003
62, -276, 1000
-,-,-
52, 56, 970
-3, 88, 1018
-3, 88, 982
14, 125, 982
-13, 157, 1005
-9, 128, 1003
11, 84, 1029
28, 64, 988
28, 64, 988
11, 79, 992
47, 64, 1011
72, 33, 996
72, 33, 996
28, 56, 993
17, 33, 1029
17, 33, 1029
30, 63, 992
54, 29, 986
47, -23, 1009
29, -36, 987
29, -36, 987
13, 8, 1010
-2, -21, 1007
27, -4, 994
27, -4, 994
12, -52, 996
28, -66, 1007
23, -150, 990
9, -87, 1003
9, -87, 1003
12, -135, 1002
22, -227, 1019
61, -333, 986
-,-,-
40, 212, 980
13, 254, 987
27, 124, 1000
27, 124, 1000
-4, 184, 1013
-16, 197, 994
16, 136, 995
11, 82, 1006
34, 47, 1007
34, 47, 1007
25, 49, 1018
44, 83, 986
26, 42, 1005
26, 42, 1005
43, -13, 1000
63, -84, 1004
52, -73, 993
51, -50, 1006
10, -24, 989
10, -24, 989
8, -65, 1016
3, -55, 1019
29, -53, 987
29, -53, 987
44, -107, 984
58, -252, 982
34, -213, 1027
43, -279, 999
48, -313, 993
119, -472, 999
-,-,-
48, 231, 978
5, 160, 978
5, 122, 1019
5, 122, 1019
1, 188, 996
20, 168, 1005
10, 141, 999
11, 153, 1027
11, 153, 1027
26, 125, 987
28, 50, 1007
27, 29, 999
27, 29, 999
16, 60, 1003
37, -2, 991
52, -44, 997
44, -62, 1005
44, -62, 1005
41, -108, 1004
41, -121, 1003
22, -65, 1010
46, -175, 976
60, -257, 1009
75, -397, 1000
-,-,-
53, 315, 990
53, 315, 990
12, 311, 998
32, 234, 1003
14, 205, 1003
-23, 152, 985
-23, 152, 985
27, 104, 1010
36, 105, 1003
44, 54, 1001
33, 20, 1019
33, 20, 1019
41, -68, 982
27, -45, 1010
18, -51, 1010
22, -30, 992
29, -54, 1015
29, -54, 1015
45, -52, 1005
34, -66, 974
55, -112, 1001
38, -150, 1004
48, -250, 1010
77, -281, 999
77, -281, 999
61, -319, 1006
79, -282, 994
-,-,-
18, 346, 1009
18, 313, 983
0, 335, 990
9, 262, 1016
26, 262, 1019
26, 192, 1019
22, 119, 987
39, -15, 1000
26, -7, 994
16, -76, 992
16, -76, 992
12, -101, 1009
24, -120, 1020
23, -98, 994
54, -173, 1022
81, -195, 980
81, -195, 980
93, -333, 999
-,-,-
9, -38, 991
-11, -20, 1003
-11, -20, 1003
31, -38, 1002
29, 25, 1006
7, 143, 994
13, 135, 1020
13, 135, 990
-26, 165, 990
-33, 221, 1014
-6, 235, 977
16, 292, 1032
2, 296, 990
2, 296, 990
-3, 298, 1007
19, 226, 1019
39, 117, 1015
54, -25, 999
54, -25, 999
80, -14, 983
62, -132, 992
79, -174, 1000
58, -215, 951
39, -219, 1052
39, -219, 1052
68, -213, 985
101, -220, 998
93, -305, 990
97, -296, 1001
73, -372, 1012
-,-,-
47, 202, 1003
6, 34, 997
6, 34, 997
23, 60, 998
0, 142, 995
6, 201, 1001
6, 201, 1001
1, 200, 1018
-10, 180, 1003
-34, 130, 1004
12, 131, 978
12, 131, 978
40, 144, 1028
52, 81, 994
59, 0, 1006
48, -82, 1014
48, -82, 1014
42, -46, 963
37, -40, 1018
27, -14, 1006
19, 2, 1005
19, 2, 1005
35, -54, 1028
23, -90, 969
25, -109, 1030
31, -76, 968
31, -76, 968
27, -74, 1023
39, -70, 993
39, -120, 996
69, -255, 1002
65, -357, 982
65, -357, 982
-,-,-
-11, 358, 1017
54, 308, 983
-25, 112, 999
-15, 202, 1000
5, 149, 1005
5, 149, 1005
30, 134, 1007
13, 118, 992
21, 61, 1010
17, 25, 991
17, 25, 991
39, 43, 1003
46, 82, 998
51, 100, 1011
51, 100, 1011
26, 92, 1000
43, 18, 1008
41, 3, 984
20, -2, 1000
20, -2, 1000
6, -3, 983
-17, 56, 1015
-3, 77, 1001
-3, 77, 1001
32, 10, 1009
53, -78, 1022
52, -114, 981
66, -253, 981
66, -253, 981
84, -304, 1014
52, -333, 987
-,-,-
28, 281, 987
28, 281, 987
38, 41, 1004
46, 32, 1007
16, 85, 999
16, 85, 999
19, 155, 992
-4, 169, 1010
-9, 168, 994
9, 112, 1015
9, 112, 1015
5, 69, 995
36, 49, 984
36, 49, 984
29, 52, 1022
21, 23, 999
30, 24, 1005
27, -7, 1002
27, -7, 1002
-3, 36, 1013
11, 29, 989
19, 32, 1001
19, 32, 1001
21, 0, 1002
34, -48, 1006
22, -72, 998
44, -66, 1011
44, -66, 1011
45, -75, 975
47, -153, 1048
76, -210, 968
64, -351, 1004
-,-,-
24, 300, 1014
74, 262, 1002
36, 53, 1002
29, 157, 996
6, 183, 1001
6, 183, 1001
-3, 211, 1000
0, 198, 977
11, 152, 1032
40, 152, 1013
40, 125, 1013
55, 184, 977
38, 243, 999
17, 164, 1011
52, 64, 1013
52, 64, 1013
44, 8, 998
27, 42, 1008
38, 15, 975
38, 15, 975
31, 9, 1000
35, -52, 1013
76, -173, 999
76, -173, 999
55, -196, 985
63, -206, 1003
38, -311, 1010
29, -314, 997
19, -402, 983
74, -490, 1019
114, -429, 984
-,-,-
34, 39, 1008
34, 39, 1008
-1, 73, 1007
20, 160, 994
18, 183, 998
18, 183, 998
30, 182, 1007
23, 183, 985
30, 158, 1046
16, 167, 985
4, 203, 987
4, 203, 987
10, 181, 993
7, 100, 1009
31, -20, 1024
31, -20, 1024
50, -21, 976
34, -45, 1001
7, -44, 1006
14, -35, 988
14, -35, 988
30, -125, 1034
33, -139, 977
45, -120, 1005
43, -140, 1006
51, -242, 998
74, -319, 1010
74, -319, 993
-,-,-
-17, 429, 996
-8, 419, 1013
25, 39, 1013
12, 224, 986
-8, 172, 988
-8, 172, 988
11, 154, 1011
-2, 169, 1004
7, 133, 1026
14, 122, 999
14, 122, 999
10, 129, 986
27, 165, 1003
26, 194, 977
12, 154, 1020
12, 154, 1020
12, 75, 1017
30, 89, 1010
24, 29, 982
41, -80, 1017
41, -80, 1017
41, -106, 982
44, -161, 1028
76, -207, 975
35, -169, 983
49, -246, 1018
68, -308, 995
68, -308, 995
73, -352, 1016
-,-,-
53, 85, 960
19, 183, 1015
55, 25, 1002
55, 25, 1002
49, 102, 998
-10, 169, 1008
0, 177, 1006
4, 167, 990
4, 167, 990
12, 173, 1026
22, 137, 989
6, 163, 991
18, 152, 1011
18, 152, 1011
21, 143, 992
22, 78, 1031
24, -62, 984
39, -57, 984
39, -57, 984
18, -102, 1012
21, -111, 987
7, -94, 1014
11, -72, 997
11, -72, 997
40, -90, 1005
34, -109, 995
35, -118, 996
56, -82, 1000
90, -234, 995
90, -234, 995
86, -325, 998
99, -352, 990
93, -343, 1019
-,-,-
43, 256, 998
